# Reviewed supplement: slurs the NWL2020 purge does not cover.
# One word per line: word, reason.
#
# Why a supplement is needed. The 2020 revision was written for a
# tournament lexicon, so it kept any word carrying a non-offensive
# sense somewhere: faggot survives as a bundle of sticks, fag as a
# cigarette, coon as a raccoon, negro as a Spanish colour word. That
# is the right call for competitive Scrabble and the wrong one for a
# game Bea plays, where the reading that lands is the only one that
# matters. The revision also predates transphobic slurs being a
# category anyone audited, so it covers none of them.
#
# Unlike nwl2020-purged.txt this list has no public source, so it is
# hand-curated and every entry carries its reason. It is held to the
# same bar as nwl2020-exclusions.tsv, just pointing the other way:
# a word is denied only when it has no neutral primary sense in
# ordinary modern English.
#
# Deliberately NOT here, because the neutral sense is the primary one:
#   lame, lamer  weak or unconvincing, and of an injured animal
#   deaf         a plain descriptive word, not a slur
#   moron, idiot fully generalised informal English; also common-pool
#                words, so denying them would move par (see the report)
#   queer        reclaimed, and the ordinary sense is "strange"
#   creole       a neutral linguistic and cultural term
#   dyke         an embankment, which is the primary reading
#   poof         a puff of smoke, or to vanish
#   nutter       mild informal British for an eccentric
#   pansies      flowers
#   dwarf        astronomy, botany, folklore
#
# The line between fag and poof, or coon and dyke, is which reading is
# primary in the lexicon this game actually ships (US ENABLE) and how
# severe the other reading is. That is a judgment call, and it is
# Antoine's to overturn by moving a line between this file and
# nwl2020-exclusions.tsv.
word	reason
coon	racial slur; the raccoon sense is secondary and the slur reading is severe
coons	racial slur; the raccoon sense is secondary and the slur reading is severe
cretin	disability slur, from a medical term for congenital hypothyroidism
cretins	disability slur, from a medical term for congenital hypothyroidism
fag	homophobic slur; the source kept it for the cigarette sense
fags	homophobic slur; the source kept it for the cigarette sense
faggot	homophobic slur; the source kept it for the bundle-of-sticks sense
faggots	homophobic slur; the source kept it for the bundle-of-sticks sense
homo	homophobic slur; the taxonomic sense is capitalised and not this word
homos	homophobic slur; the taxonomic sense is capitalised and not this word
injun	dated slur for Native Americans, no neutral sense
kraut	ethnic slur for Germans; the sauerkraut sense is a clipping, not this word
krauts	ethnic slur for Germans; the sauerkraut sense is a clipping, not this word
negress	dated racial term, no neutral modern sense
negresses	dated racial term, no neutral modern sense
negro	dated racial term, no neutral modern sense
negroes	dated racial term, no neutral modern sense
negroid	dated racial classification, no neutral modern sense
negroids	dated racial classification, no neutral modern sense
nigga	variant of the strongest racial slur; the -er forms come from the source
niggas	variant of the strongest racial slur; the -er forms come from the source
tranny	transphobic slur; the 2020 revision predates the category entirely
trannies	transphobic slur; the 2020 revision predates the category entirely
