word	action	band	note
# Dictionary patch layer. One word per line. Columns: word, action (allow or
# deny), band (common for allow seeds; blank for deny), note (optional).
# Allow = accept a word the base list misses, banded so it classifies right.
# Deny = reject a word the base list wrongly accepts, outright: it answers with
# the ordinary not-in-the-word-list response, exactly as if it were not a word.
# Bea flags a word, it becomes one line here, and the dictionary tunes to her.
#
# Allowlist: modern words ENABLE rejects, from the must-accept probe in
# scripts/_investigate, plus udon. All common, because they are common words.
meme	allow	common	modern
email	allow	common	modern
emailed	allow	common	modern
emojis	allow	common	modern
blog	allow	common	modern
blogger	allow	common	modern
selfie	allow	common	modern
selfies	allow	common	modern
emoji	allow	common	modern
podcast	allow	common	modern
app	allow	common	modern
wifi	allow	common	modern
website	allow	common	modern
webpage	allow	common	modern
online	allow	common	modern
internet	allow	common	modern
texting	allow	common	modern
googled	allow	common	modern
memes	allow	common	modern
unfriend	allow	common	modern
upvote	allow	common	modern
downvote	allow	common	modern
hashtag	allow	common	modern
spam	allow	common	modern
chatbot	allow	common	modern
smartphone	allow	common	modern
login	allow	common	modern
logout	allow	common	modern
cyber	allow	common	modern
screenshot	allow	common	modern
metadata	allow	common	modern
udon	allow	common	Bea flagged
#
# Denylist (Phase 1): SCOWL size-95 proper-noun and foreign warts that
# are formable from the source pool. Generated by scan, not hand-flagged.
# Real words and inflections (betcha, yeps) are deliberately kept valid.
bonjour	deny		foreign
bonsoir	deny		foreign
danke	deny		foreign
gracias	deny		foreign
hola	deny		foreign
merci	deny		foreign
aaa	deny		proper noun
aarp	deny		proper noun
abel	deny		proper noun
abib	deny		proper noun
abm	deny		proper noun
abner	deny		proper noun
abt	deny		proper noun
acheron	deny		proper noun
aclu	deny		proper noun
acoma	deny		proper noun
acris	deny		proper noun
acrita	deny		proper noun
acton	deny		proper noun
actu	deny		proper noun
aday	deny		proper noun
addis	deny		proper noun
addison	deny		proper noun
aden	deny		proper noun
adige	deny		proper noun
adighe	deny		proper noun
aditi	deny		proper noun
adolf	deny		proper noun
adonai	deny		proper noun
advil	deny		proper noun
aegina	deny		proper noun
aegir	deny		proper noun
aeneas	deny		proper noun
aeolis	deny		proper noun
aeolus	deny		proper noun
aer	deny		proper noun
aertex	deny		proper noun
aesir	deny		proper noun
afd	deny		proper noun
afp	deny		proper noun
agen	deny		proper noun
agni	deny		proper noun
ahab	deny		proper noun
ahriman	deny		proper noun
ahsan	deny		proper noun
aion	deny		proper noun
aire	deny		proper noun
aix	deny		proper noun
akey	deny		proper noun
akron	deny		proper noun
alai	deny		proper noun
albee	deny		proper noun
alberta	deny		proper noun
albin	deny		proper noun
albion	deny		proper noun
albula	deny		proper noun
albus	deny		proper noun
alcestis	deny		proper noun
alcides	deny		proper noun
alden	deny		proper noun
alen	deny		proper noun
alep	deny		proper noun
aleppo	deny		proper noun
alfred	deny		proper noun
algic	deny		proper noun
algiers	deny		proper noun
algol	deny		proper noun
alia	deny		proper noun
alice	deny		proper noun
alioth	deny		proper noun
allah	deny		proper noun
allan	deny		proper noun
allen	deny		proper noun
aller	deny		proper noun
allis	deny		proper noun
almaty	deny		proper noun
almon	deny		proper noun
aln	deny		proper noun
alo	deny		proper noun
alpen	deny		proper noun
alphin	deny		proper noun
alsace	deny		proper noun
altair	deny		proper noun
alterman	deny		proper noun
althing	deny		proper noun
altus	deny		proper noun
alvelos	deny		proper noun
alvia	deny		proper noun
alw	deny		proper noun
aly	deny		proper noun
amante	deny		proper noun
amar	deny		proper noun
ambon	deny		proper noun
ame	deny		proper noun
ameland	deny		proper noun
amenia	deny		proper noun
amess	deny		proper noun
amharic	deny		proper noun
